,title,date,contents,link
3322,독립예술영화 품는 온라인동영상서비스 ,2021.01.06.,"새해 첫날 두 배우가 관객 앞에 섰다. 야구 천재 여고생이 프로구단에 입단하기 위해 노력하는 이야기를 다룬 영화 ‘야구소녀’에 출연한 이주영과 이준혁. 둘은 이 영화에 출연하게 된 계기를 말하고, 가장 마음에...",https://www.donga.com/news/article/all/20210107/104804723/1
3323,긴 퇴근길 20분 거리 2시간반 걸렸다,2021.01.06.,북극발 한파가 몰아치면서 밤사이 내린 눈이 녹지 않고 그대로 얼어붙을 것으로 보인다. 이날 전국의 아침 최저기온은 영하 20도∼영하 5도로 하루 만에 수은주가 5∼8도 더 떨어진다. 바람이 강해 체감온도는 더 낮다....,https://www.donga.com/news/article/all/20210107/104804670/1
3324,최강한파 핫팩으로 손 녹이세요,2021.01.06.,3년 만에 서울에 한파경보가 발령된 6일 오후 서울 중구 한강대로 롯데마트 서울역점에서 직원이 핫팩 제품을 정리하고 있다. 롯데마트에 따르면 올해 1∼5일 핫팩 매출은 지난해 같은 기간에 비해 35.6% 증가했다.,https://www.donga.com/news/article/all/20210106/104803822/1
3325,사설김정은 경제 엄청 미달 포기 없인 체제위기 키울 뿐,2021.01.06.,당 간부들은 줄줄이 내리먹이기식 할당량을 부과하고 한파 속에 대규모 노력동원 체제를 이어가며 주민 쥐어짜기에 나설 것이다. 이래선 위기 탈출은커녕 굶주림 속에 쌓여가는 내부 불만의 폭발을 막을 수 없다. 북한이...,https://www.donga.com/news/article/all/20210106/104803845/1
3326,도로 결빙에 출근길 조마조마도심 곳곳 차량 정체,2021.01.07.,"서울은 2018년 1월 이후 3년 만에 한파경보가 내려졌다. 한파로 대부분 도로가 얼어붙어 차량들이 제 속도를 내지 못하고 있다. 평소 서울시내 출근길 차량 속도는 시속 20~25km 수준인데, 이날은 19km 수준으로 떨어졌다....",https://www.donga.com/news/article/all/20210107/104807403/2
3327,밤사이 눈폭탄으로주차장 된 도로와 버려진 차량들,2021.01.07.,등장했다”면서 사진을 게재하기도 했다. 한편 기상청은 이날부터 강추위가 지속되면 한파특보가 확대 또는 강화되겠다고 밝혔다. 이번 추위는 오는 8일 절정을 이룰 것으로 내다봤다. 조혜선 동아닷컴 기자,https://www.donga.com/news/article/all/20210107/104808999/2
3328,서울 코로나 298명 확진동부구치소 점차 늘어,2021.01.07.,박 국장은 “한파로 인해 실내활동이 증가하고 환기가 불충분할 수 있기 때문에 난방기 사용 전후에 수시로 환기를 하는 게 중요하다”며 “의심되거나 불안하신 분은 코로나19 검사를 받아 지역사회 숨은...,https://www.donga.com/news/article/all/20210107/104813972/2
3329,몸이 100개라도 모자를 듯눈 치우는 선별진료소 의료진,2021.01.07.,"특히나 이날 대전의 아침 기온은 영하 10.5도까지 떨어졌고, 체감온도는 영하 15.5도로 한파 특보가 발효됐다. 대다수의 누리꾼은 “힘내세요”, “눈 치우는 인력 좀 구하라. 이걸 바쁜 의료진이 하게끔 하냐”, “검사도...",https://www.donga.com/news/article/all/20210107/104815487/2
3330,제설차는 어디에아침까지 쌓여있던 눈폭탄에 시민들 분통원대연의 잡학사진,2021.01.07.,내린 눈이 녹을 사이도 없이 뒤따라온 강력한 한파는 출근길 시민들에게 혼란을 주었다. 많은 시민들이 대중교통을 이용해서 인지 우려했던 교통 대란은 없었지만 제설이 제대로 되지 않아 강남 도로를 지나는 차량은...,https://www.donga.com/news/article/all/20210107/104821807/1
3331,8일 올 겨울 최강 한파체감온도 서울 25도 철원 35도,2021.01.07.,북극발 한파가 맹위를 떨치면서 8일은 올 겨울 들어 가장 추운 날이 될 것으로 보인다. 7일 기상청에... 한파에 폭설이 더해지면 비닐하우스가 무너지거나 양식장 어류가 동사하는 등 시설물 피해가 일어날 수 있다....,https://www.donga.com/news/article/all/20210107/104824160/1
3332,낮 1시 대비하라 통보했지만 폭설 퇴근길 제설차는 없었다,2021.01.07.,"정세균 국무총리는 오후 11시 13분경 폭설 및 한파에 대한 총력 대응을 긴급 지시했다. 이때는 수도권에 내리던 눈이 거의 그친 상태였다. 버스운수회사 관계자는 “눈이 이렇게 쌓이는데 도로 위에 공무원, 제설 차량...",https://www.donga.com/news/article/all/20210108/104825246/1
3333,서울 8일 체감 영하 25도 철원은 영하 35도,2021.01.07.,북극발 한파가 맹위를 떨치면서 8일은 올겨울 들어 가장 추운 날이 될 것으로 보인다. 7일 기상청에... 수도관 동파 사례 역시 전국 281건에 달한다. 8일 추위가 더 거세지면서 한파 피해는 더 커질 것으로 우려된다.,https://www.donga.com/news/article/all/20210107/104825061/1
3334,전세계 덮친 한파 스페인 영하 34도,2021.01.07.,세계 전역에 강풍과 폭설을 동원한 한파가 몰아쳐 곳곳에서 최저기온 기록을 경신하고 있다. 눈보라에 고립되는 사건 사고도 속출하면서 한파 피해가 커질 것으로 보인다. 로이터통신 등에 따르면 유럽 전역 곳곳에서...,https://www.donga.com/news/article/all/20210107/104824954/1
3335,난방용품 불티,2021.01.07.,폭설과 한파로 전열기구 수요가 늘어난 가운데 7일 서울 영등포구 이마트 ‘일렉트로마트’ 영등포점에서 소비자들이 전기난로 등을 살펴보고 있다. 뉴시스,https://www.donga.com/news/article/all/20210107/104824826/1
3336,어제보다 더 춥다출근길 서울 18도 추위 절정,2021.01.08.,"강한 한파가 계속되는 가운데, 주말을 앞둔 8일 추위가 절정에 달하고 있다. 기상청은 “오늘 아침 중부내륙과 전북동부, 경북북부내륙은 -20도 이하, 그 밖의 중부지방과 전북서부, 전남권북부, 그 밖의 경북권...",https://www.donga.com/news/article/all/20210108/104827175/2
3337,폭설 늑장대처 비판에 고개숙인 서울시 재난시스템 재정비,2021.01.08.,이어 “폭설 한파 재해 예방 시스템은 물론이고 서울시 재난시스템 전반을 원점에서부터 재정비하겠다”며 재발방지책을 언급했다. 그는 “눈이 오기 전 미리 대비하는 사전 대책으로 전환하고 사고 다발지역과 교통...,https://www.donga.com/news/article/all/20210108/104833389/2
3338,이베이코리아 스마일배송 덕분에스마일 캠페인 통해 누적 1억2000만원 후원,2021.01.08.,홍윤희 이베이코리아 기업커뮤니케이션부문 이사는 “국내 노인빈곤율은 OECD 회원국 중 가장 높은 수준으로 올해는 코로나19에 한파까지 겹치면서 겨울나기가 더욱 힘들어진 상황”이라며 “독거어르신을 돕는 캠페인...,https://www.donga.com/news/article/all/20210108/104836434/1
3339,폭설 늑장대처 비판에 서정협 제설작업 제대로 못해깊이 사과,2021.01.08.,서 권한대행은 8일 온라인 브리핑에서 “6일 저녁 최고 13.7cm의 눈이 쌓이는 기습 폭설에 3년 만의 한파까지... 서 권한대행은 “폭설과 한파 등 다양한 상황에 맞는 대책을 마련하겠다”며 “24시간 상황실을 가동해 한파로...,https://www.donga.com/news/article/all/20210108/104836365/1
3340,홑겹 천막속 의료진 옷 네겹 입고 버텨고맙다에 힘나,2021.01.08.,방역당국은 일단 한파가 극심한 7일부터 나흘 동안은 수도권 임시선별검사소를 오전 11시~오후 3시 단축 운영하기로 했다. 서울시 관계자는 “추위에 고생하는 의료진들에게 발열조끼와 귀마개 등을 지원하고 있다”고...,https://www.donga.com/news/article/all/20210108/104837494/1
3341,춘천 얼굴없는 천사 이웃에 써달라 3억 기부,2021.01.08.,"강원도공동모금회에 지정후원으로 입금됐으며, 기부자의 뜻을 따라 지원할 계획이다. 한현주 춘천시 복지국장은 “코로나19와 한파를 이겨낼 힘이 되는 이런 따뜻한 소식이 전해져 감사한 마음”이라고 말했다. 춘천=",https://www.donga.com/news/article/all/20210109/104840062/1
3342,후회하더라도 해보고 후회 영끌 대신 영꿈 통장,2021.01.08.,신종 코로나바이러스 감염증으로 꽁꽁 얼어붙은 취업 창업 한파는 불안을 더욱 자극했다. 미래는커녕 내일이 흐릿한 시대. 꿈은 사치처럼 여겨졌다. 하지만 꿈은 여전히 꿈꾸는 자의 특권이다. 꿈을 좇는 이들은 나이와...,https://www.donga.com/news/article/all/20210109/104840346/1
3343,날씨 이야기아니 왜 이렇게 추운 거야,2021.01.08.,“지구 온난화로 겨울 기온은 더 따뜻해진다고 하는데 왜 올겨울이 이렇게 춥나요?” 12일째 한파가... 올겨울에 혹한이 이어지는 것은 제트기류가 북극 한파를 몰고 내려와 정체하고 있기 때문이다. 올겨울 한파의 또...,https://www.donga.com/news/article/all/20210109/104840074/1
3344,서울시 폭설 대란 깊이 사과 눈 오기전 사전 대비로 전환,2021.01.08.,"서 권한대행은 8일 온라인 브리핑에서 “6일 저녁 최고 13.7cm의 눈이 쌓이는 기습 폭설에 3년 만의 한파까지... 서 권한대행은 “24시간 상황실을 가동해 한파로 인한 동파, 잔설로 인한 교통사고, 낙상사고에 이르는 추가적...",https://www.donga.com/news/article/all/20210109/104840361/1
3345,북극 한파횡설수설김선미,2021.01.08.,한파’가 남긴 추억이다. ▷35년 만에 한반도에 가장 추운 날씨가 찾아왔다. 기상청에 따르면 어제 서울의 최저기온은 영하 18.6도로 1986년 1월 5일 영하 19.2도 다음으로 낮은 온도를 기록했다. 전국 대부분 지역에 한파특보...,https://www.donga.com/news/article/all/20210109/104839967/1
3346,북극발 한파에 한강도 꽁꽁 얼었다2년 만에 결빙,2021.01.09.,"북극발 한파가 한강을 2년 만에 얼렸다. 기상청에 따르면, 9일 오전 한강대교 부근에서 이번... 기상청은 이번 한강 결빙에 대해 “최근 북극발 한파로 인한 것”이라며 “지난 6일부터 서울...",https://www.donga.com/news/article/all/20210109/104842254/2
